gt,generated,psnr,ssim,lpips,loe
10082_00_30s.ARW,test_10082_07_0.1s.png,25.606874250013746,0.7083964,0.48204126954078674,248.6564
10082_00_30s.ARW,test_10082_08_0.1s.png,25.53852751985502,0.70855325,0.4878350496292114,238.744
10082_00_30s.ARW,test_10082_09_0.1s.png,25.638246246627666,0.7097173,0.4856647849082947,248.1536
10087_00_30s.ARW,test_10087_00_0.1s.png,27.76157598456959,0.7411826,0.4538332521915436,561.9936
10087_00_30s.ARW,test_10087_01_0.1s.png,27.804339893207192,0.7416484,0.45319876074790955,562.1648
10087_00_30s.ARW,test_10087_02_0.1s.png,27.74921847299848,0.74176496,0.4549527168273926,567.3528
10087_00_30s.ARW,test_10087_03_0.1s.png,27.752508047199335,0.7403188,0.4535518288612366,566.3988
10087_00_30s.ARW,test_10087_04_0.1s.png,27.755333326905934,0.7399841,0.45673128962516785,542.5568
10087_00_30s.ARW,test_10087_05_0.1s.png,27.793884334509965,0.7389223,0.45803341269493103,538.4464
10087_00_30s.ARW,test_10087_06_0.1s.png,27.73780572327654,0.7397282,0.45513617992401123,554.3312
10087_00_30s.ARW,test_10087_07_0.1s.png,27.745516153151573,0.7390583,0.45709243416786194,549.7408
10087_00_30s.ARW,test_10087_08_0.1s.png,27.775494027636825,0.7408232,0.45439618825912476,542.7688
10087_00_30s.ARW,test_10087_09_0.1s.png,27.737639441320077,0.7401033,0.4544728398323059,554.572
10093_00_30s.ARW,test_10093_00_0.1s.png,21.770804076063914,0.42965212,0.5998480916023254,792.4316
10093_00_30s.ARW,test_10093_01_0.1s.png,22.01020817663315,0.43792045,0.5935686826705933,792.3308
10093_00_30s.ARW,test_10093_02_0.1s.png,21.905374690408976,0.43406558,0.5949205756187439,801.216
10093_00_30s.ARW,test_10093_03_0.1s.png,21.77748290975421,0.43395185,0.5957523584365845,808.572
10093_00_30s.ARW,test_10093_04_0.1s.png,21.610895095558526,0.42672727,0.5987443327903748,801.314
10093_00_30s.ARW,test_10093_05_0.1s.png,21.906237663611453,0.43622366,0.594970703125,807.9684
