gt,generated,psnr,ssim,lpips
10035_00_10s.ARW,test_10035_09_0.1s.png,33.40771086327556,0.9237953,0.2506721615791321
10035_00_10s.ARW,test_10035_10_0.1s.png,33.46033243489516,0.9238758,0.25026771426200867
10040_00_10s.ARW,test_10040_00_0.04s.png,30.803157036048965,0.8242573,0.46903952956199646
10040_00_10s.ARW,test_10040_00_0.1s.png,30.120915598724004,0.8381669,0.4971175789833069
10040_00_10s.ARW,test_10040_01_0.04s.png,30.725947286592564,0.82455486,0.4692683219909668
10040_00_10s.ARW,test_10040_01_0.1s.png,30.15329546184328,0.8383877,0.4970357418060303
10040_00_10s.ARW,test_10040_02_0.1s.png,30.150375685163407,0.8384922,0.4976956844329834
10040_00_10s.ARW,test_10040_03_0.1s.png,30.143238706320638,0.8384316,0.4972214698791504
10040_00_10s.ARW,test_10040_04_0.1s.png,30.14858149180722,0.8382897,0.49698206782341003
10040_00_10s.ARW,test_10040_05_0.1s.png,30.172229771941446,0.8383765,0.49710074067115784
10040_00_10s.ARW,test_10040_06_0.1s.png,30.14012406690327,0.838321,0.4970158338546753
10040_00_10s.ARW,test_10040_07_0.1s.png,30.10459740954735,0.83818024,0.49703383445739746
10040_00_10s.ARW,test_10040_08_0.1s.png,30.168351432365533,0.838357,0.49717122316360474
10040_00_10s.ARW,test_10040_09_0.1s.png,30.12580496641588,0.838381,0.49701055884361267
10054_00_10s.ARW,test_10054_00_0.04s.png,18.16493306256691,0.761317,0.4410144090652466
10054_00_10s.ARW,test_10054_00_0.1s.png,17.89431863909377,0.78022057,0.4663753807544708
10054_00_10s.ARW,test_10054_01_0.04s.png,18.205989318442036,0.76125985,0.43975314497947693
10054_00_10s.ARW,test_10054_01_0.1s.png,17.89834053028833,0.7801978,0.4657914936542511
10054_00_10s.ARW,test_10054_02_0.1s.png,17.87514727851066,0.78038675,0.46805065870285034
10054_00_10s.ARW,test_10054_03_0.1s.png,17.90762155541595,0.77996135,0.4659716486930847
10054_00_10s.ARW,test_10054_04_0.1s.png,17.883917193477664,0.78014404,0.4671861231327057
10054_00_10s.ARW,test_10054_05_0.1s.png,17.903539039155156,0.7802039,0.46689373254776
10054_00_10s.ARW,test_10054_06_0.1s.png,17.88640551124286,0.779928,0.4671062231063843
10054_00_10s.ARW,test_10054_07_0.1s.png,17.89979758607477,0.7801814,0.4668191075325012
10054_00_10s.ARW,test_10054_08_0.1s.png,17.88207890735958,0.78009444,0.4671671390533447
10054_00_10s.ARW,test_10054_09_0.1s.png,17.90478672636241,0.7802581,0.467041552066803
10055_00_10s.ARW,test_10055_00_0.04s.png,19.37846419045935,0.80413824,0.31007808446884155
10055_00_10s.ARW,test_10055_00_0.1s.png,19.16097673428947,0.817127,0.30553048849105835
10055_00_10s.ARW,test_10055_01_0.04s.png,19.26864565397211,0.80346084,0.3132486343383789
10055_00_10s.ARW,test_10055_01_0.1s.png,19.178926773560562,0.8172721,0.30504655838012695
10055_00_10s.ARW,test_10055_02_0.1s.png,19.16346110863091,0.81674343,0.3052304983139038
10055_00_10s.ARW,test_10055_03_0.1s.png,19.165397058959808,0.8168373,0.3054874539375305
10055_00_10s.ARW,test_10055_04_0.1s.png,19.17991658693172,0.8171107,0.30477026104927063
10055_00_10s.ARW,test_10055_05_0.1s.png,19.17116060820048,0.81721663,0.3046477437019348
10055_00_10s.ARW,test_10055_06_0.1s.png,19.192922101037528,0.8172818,0.3045106828212738
10055_00_10s.ARW,test_10055_07_0.1s.png,19.165590399294146,0.81682104,0.3048003017902374
10055_00_10s.ARW,test_10055_08_0.1s.png,19.166022147730423,0.81701213,0.30550429224967957
10055_00_10s.ARW,test_10055_09_0.1s.png,19.182061826881704,0.8173,0.30483922362327576
10068_00_10s.ARW,test_10068_00_0.04s.png,23.324639797084657,0.8937741,0.2711865305900574
10068_00_10s.ARW,test_10068_00_0.1s.png,23.145189232704713,0.89974624,0.27747607231140137
10068_00_10s.ARW,test_10068_01_0.04s.png,23.15892251602236,0.8849979,0.2733585834503174
10068_00_10s.ARW,test_10068_01_0.1s.png,23.113770803210954,0.8996716,0.27802249789237976
10068_00_10s.ARW,test_10068_02_0.1s.png,23.129211962122532,0.8997,0.2777278423309326
10068_00_10s.ARW,test_10068_03_0.1s.png,23.110494850055993,0.8997037,0.2775726616382599
10068_00_10s.ARW,test_10068_04_0.1s.png,23.0926039849359,0.8995524,0.2779880166053772
10068_00_10s.ARW,test_10068_05_0.1s.png,23.099993170996456,0.89967495,0.27750739455223083
